source,target
1229,1072
1229,1080
1229,1084
1229,1905
1229,1909
1229,5781
1229,1234
1229,2771
1229,1250
1084,897
1084,4162
1084,1094
1084,273
1084,1044
1084,1050
1084,5665
1084,1059
1084,5674
1084,245
1084,246
1084,248
1084,1081
1084,253
1909,1903
1909,1904
1909,1908
1909,1910
1909,1918
2771,2768
2771,2759
2771,2762
2771,2699
2771,2767
897,4161
897,898
897,901
897,999
897,298
897,970
897,1107
897,883
897,886
897,888
897,891
897,1020
1094,9824
1094,1074
1094,1097
273,262
273,263
273,264
273,6730
273,268
273,269
273,1165
273,270
273,275
273,9826
273,1063
273,6972
1044,4059
1059,1062
5674,5675
5674,973
5674,1102
5674,1104
5674,1106
245,260
245,280
245,890
246,247
248,5556
248,249
248,251
248,252
1081,1082
1918,1901
2768,2772
2759,2769
2759,2761
2762,2789
2762,2764
2762,7313
2762,2802
2762,7317
2762,4247
2762,2649
2762,2812
2699,4305
999,900
1107,907
1107,3980
1107,1038
1107,1173
1107,4119
1107,1175
1107,1177
1107,1180
1107,1187
1107,951
1107,979
1107,1109
1107,1110
1107,1111
1107,1112
1107,1113
1107,1114
1107,1116
1107,1118
1107,1119
1107,1121
1107,9827
1107,1005
1107,1016
1107,7417
1107,1145
886,967
1020,1026
1020,1031
1020,1037
1020,1042
1020,1043
1020,5652
1020,11230
1074,1154
1074,1157
1074,5673
1074,1070
1074,1075
1074,1077
1074,1079
1074,9823
1074,1128
1165,1120
1165,1166
4059,906
4059,910
4059,3093
4059,918
4059,1183
4059,1186
4059,2997
4059,5687
4059,5688
4059,5694
4059,984
4059,985
4059,1138
4059,1140
4059,1013
4059,1143
4059,1149
4059,3967
1102,1103
1102,1105
260,266
260,267
260,276
260,277
1901,1923
2769,6056
2769,6058
2789,2688
2789,2851
2789,9768
2789,6066
2789,6067
2789,2781
2789,2785
2789,2786
2789,2787
2789,2788
2789,2792
2789,2796
2789,2673
2789,2801
2789,2804
2789,2806
2789,2807
2789,2808
2789,2809
2649,2641
2649,2651
907,9828
907,5612
907,908
907,5613
907,881
3980,5954
3980,3974
3980,3975
3980,3976
3980,3977
3980,3978
3980,3979
4119,912
1175,5701
1175,5702
1175,6768
1175,1169
1177,9829
1177,1176
1177,1182
1180,1147
1187,5709
1187,813
1187,7450
951,960
951,5632
951,5633
951,4105
951,944
951,946
951,948
951,949
951,952
951,953
951,957
951,5630
951,958
951,959
979,5637
979,974
979,976
979,986
979,988
979,990
1110,1117
1118,5601
1121,1122
1005,1001
1005,1004
1005,799
