Source;Target
2006;3339
2006;1997
2006;3406
2006;3351
2006;2009
2006;2650
2006;2012
2006;2015
2006;2017
2006;2018
2006;2023
2006;1960
2006;2024
2006;4075
2006;1963
2006;2029
2006;2030
2006;1969
2006;3316
2006;3320
2006;2041
2006;3322
2006;4095
2006;2047
1997;1960
1997;5896
1997;5897
1997;4074
1997;5900
1997;5901
1997;5902
1997;5904
1997;5905
1997;4242
1997;5908
1997;5909
1997;2006
1997;5911
1997;5912
1997;5916
1997;5918
2017;2006
2018;2006
1960;3077
1960;5
1960;1961
1960;4074
1960;1963
1960;2252
1960;5869
1960;1965
1960;1997
1960;1968
1960;1969
1960;5874
1960;5875
1960;5877
1960;2006
1960;5878
1960;2009
1960;3484
1963;2006
1963;1960
1963;1961
1969;2006
1969;1960
2041;2006
2047;2006
5896;1997
5897;5905
5897;5910
5897;5902
4074;7616
4074;7617
4074;5409
4074;7618
4074;5410
4074;5411
4074;5412
4074;5
4074;6758
4074;5414
4074;6919
4074;5415
4074;1960
4074;5416
4074;5417
4074;5418
4074;1997
4074;5404
4074;5407
5900;5910
5900;1997
5901;5905
5901;1997
5902;5897
5902;1997
5904;5908
5904;5898
5904;1997
5905;5908
5905;5912
5905;5897
5905;5901
5905;1997
4242;5914
4242;5915
4242;5917
4242;1997
4242;5918
5908;5904
5908;5905
5908;5906
5908;6771
5908;5894
5908;5898
5908;5899
5908;1997
5908;5903
5909;1997
5911;1997
5912;5905
5912;1997
5916;1997
5916;5918
5918;4242
5918;5916
5918;1997
2252;1960
5869;1960
5869;1961
1965;1960
1965;2249
1965;4076
5874;1960
5874;1961
5875;5878
5875;1960
5875;1961
5877;1960
5878;5875
5878;1960
5878;1961
1961;5873
1961;5874
1961;5875
1961;2006
1961;5878
1961;1960
1961;5867
1961;1963
1961;5883
1961;4077
1961;5869
5910;5897
5910;5900
5910;1997
7616;5409
7616;4074
7617;5412
5409;7616
5409;7618
5409;4074
7618;5409
7618;4074
5410;4074
5411;5412
5411;6758
5411;5417
5411;4074
5412;7617
5412;5411
5412;6758
5412;4074
5;1
5;2
5;3
5;4
5;6
5;5979
5;5984
5;3940
5;1960
5;4074
5;5419
5;5420
5;5421
5;5422
5;5423
5;5424
5;5425
5;5428
5;5429
5;5430
5;5431
5;5433
5;5434
5;5435
5;5436
5;5437
6758;5412
6758;5416
6758;4074
6758;5418
5414;6919
5414;4074
6919;5414
6919;4074
5415;4074
5416;4074
5417;5411
5417;5412
5418;5411
5418;4074
5404;4074
5407;5416
5407;4074
5898;5904
5898;5908
5914;4242
5915;4242
5915;5917
5917;4242
5917;5915
5906;5908
5906;5893
5906;5895
6771;5908
5894;5908
5894;5893
5894;5895
5899;5908
5903;5908
4076;2249
4076;1965
5873;1961
5867;1961
5883;1961
4077;1961
1;2
1;3
1;4
1;5
2;1
2;3
2;4
2;5
2;6
2;5430
2;5436
3;1
3;2
3;4
3;5
3;6
3;5431
3;5433
3;5434
4;5424
4;1
4;2
4;3
4;5
4;5430
4;5435
4;5421
4;5423
6;2
6;3
6;5
6;5436
5979;5
5979;5435
5984;5423
5419;5
5419;5435
5419;5979
5420;5
5421;5425
5421;4
5421;5
5422;5
5422;5432
5422;5980
5422;5423
5423;5984
5423;4
5423;5
5423;5422
5424;4
5424;5
5424;5435
5425;3
5425;5
5425;5434
5425;5421
5428;5
5428;5430
5428;5435
5429;5
5430;2
5430;4
5430;5428
5430;5
5430;5435
5431;3
5431;5
5433;3
5433;5
5433;5431
5434;5425
5434;3
5434;5
5435;5424
5435;5428
5435;4
5435;5
5435;5430
5435;5419
5435;5979
5436;2
5436;5
5436;6
5437;5
5893;5906
5893;5894
5893;5895
5895;5906
5895;5893
5895;5894
2249;2251
2249;4076
2249;1965
5432;5419
5432;5422
5980;5422
