Source;Target;Weight
135;133;1
133;141;1
133;145;1
133;150;1
133;154;1
133;566;1
133;706;1
133;2882;1
133;593;1
133;723;1
133;619;1
133;1014;1
154;508;1
566;259;1
566;273;1
566;282;1
566;283;1
566;288;1
566;294;1
566;295;1
566;310;1
566;569;1
566;315;1
566;575;1
566;325;1
566;2117;1
566;330;1
566;2379;1
566;331;1
566;341;1
566;348;1
566;479;1
566;362;1
566;246;1
566;247;1
706;780;1
706;538;1
706;302;1
706;586;1
706;1610;1
706;338;1
706;1645;1
706;639;1
706;1407;1
706;1682;1
706;1438;1
706;674;1
706;686;1
706;1464;1
706;708;1
706;1989;1
706;716;1
706;982;1
706;737;1
706;748;1
706;758;1
723;264;1
723;278;1
723;280;1
723;537;1
723;335;1
619;611;1
1014;169;1
1014;2093;1
1014;1019;1
1014;1982;1
508;514;1
508;401;1
508;546;1
508;164;1
508;1446;1
508;551;1
508;470;1
508;2043;1
508;511;1
259;772;1
259;2064;1
259;700;1
259;480;1
273;582;1
282;1056;1
282;665;1
282;668;1
282;1188;1
282;725;1
282;1757;1
282;251;1
282;269;1
282;1318;1
282;303;1
282;1372;1
282;1378;1
282;879;1
282;882;1
282;371;1
282;478;1
282;497;1
288;565;1
288;585;1
288;620;1
288;1918;1
288;1968;1
295;293;1
315;319;1
330;2196;1
348;622;1
348;562;1
479;2403;1
479;501;1
246;644;1
247;209;1
247;2041;1
247;1406;1
538;2416;1
302;199;1
302;487;1
302;504;1
586;754;1
1610;1536;1
1610;2063;1
1610;1570;1
1610;2098;1
1610;1597;1
1610;1601;1
1610;1605;1
1610;1606;1
1610;1614;1
1610;1127;1
1610;1653;1
1610;1662;1
1610;2179;1
1610;1994;1
1610;1507;1
1610;1514;1
1610;1529;1
1645;2055;1
1645;1039;1
1645;1063;1
1645;1654;1
1645;3195;1
1645;1668;1
1645;3307;1
1645;2808;1
1645;2833;1
1645;2834;1
1645;2835;1
1645;2836;1
1645;2838;1
1645;2859;1
1645;1379;1
1645;1389;1
1645;1392;1
1645;1401;1
639;489;1
1682;2866;1
1682;1089;1
1682;1099;1
1682;849;1
1682;2178;1
1438;3243;1
1438;2227;1
1438;2642;1
674;662;1
1989;938;1
716;714;1
982;1026;1
982;969;1
982;971;1
982;1502;1
982;2938;1
982;2554;1
758;524;1
758;2130;1
758;1917;1
280;636;1
611;600;1
1019;2562;1
1019;520;1
1019;1440;1
546;549;1
546;412;1
1446;2694;1
1446;1455;1
1446;1460;1
1446;1463;1
1446;1979;1
1446;1496;1
1446;2421;1
551;519;1
470;473;1
470;461;1
2043;395;1
2043;447;1
480;568;1
1188;1173;1
1188;1216;1
1188;1219;1
1188;1242;1
1188;864;1
1757;2963;1
1757;2070;1
1757;1814;1
1757;1959;1
1757;2481;1
1757;1714;1
1757;1734;1
1757;1877;1
1757;1878;1
1757;2010;1
1757;1912;1
1318;1261;1
1372;1352;1
1372;802;1
1372;873;1
1378;2640;1
1378;1381;1
879;898;1
879;871;1
1918;1809;1
1918;803;1
1918;1361;1
1918;1879;1
1918;1910;1
1918;1735;1
293;369;1
2196;309;1
2403;2404;1
2403;475;1
501;3299;1
209;2353;1
2063;1117;1
1570;1923;1
1605;1581;1
1605;1591;1
1605;1630;1
1614;1615;1
1653;2794;1
1662;2843;1
1994;1612;1
1529;1538;1
1529;1950;1
1529;1952;1
1529;2094;1
1529;1532;1
2055;1427;1
2055;2645;1
2055;2670;1
2055;1397;1
2055;2678;1
1379;1384;1
1389;3269;1
1389;1393;1
1392;3163;1
849;836;1
849;845;1
849;846;1
849;804;1
849;812;1
3243;2673;1
2227;2659;1
662;2124;1
1026;1028;1
1026;1023;1
1917;2050;1
1917;1799;1
1917;2071;1
1917;2072;1
1917;1830;1
1917;2090;1
1917;1842;1
1917;818;1
1917;2884;1
1917;72;1
1917;1886;1
1917;1891;1
1917;102;1
1917;2207;1
1917;1962;1
1917;2018;1
1917;1772;1
1917;2029;1
1917;1783;1
1440;1423;1
1440;2686;1
2421;1459;1
395;394;1
1173;3144;1
1242;1238;1
1242;1239;1
1242;1244;1
1242;1246;1
864;1295;1
864;798;1
1734;1797;1
1734;1758;1
1734;1781;1
1878;3045;1
1878;3046;1
1878;3110;1
1261;2181;1
1352;1357;1
873;2498;1
898;2507;1
898;885;1
898;892;1
871;900;1
1809;2957;1
1809;1728;1
1809;1764;1
1809;1909;1
369;350;1
475;2398;1
1581;2723;1
1581;2040;1
1630;2767;1
1615;1611;1
1615;2774;1
2794;2816;1
2794;3159;1
2794;3168;1
2794;2803;1
2670;3329;1
2670;2676;1
812;819;1
2050;1778;1
818;844;1
900;800;1
900;2276;1
900;3124;1
900;3221;1
900;3125;1
900;2877;1
1728;1795;1
1728;1892;1
1728;1820;1
1778;2084;1
1778;1960;1
1778;2026;1
