Source;Target;Weight
1;2;1
1;3;1
1;4;1
1;5;2
2;1;1
2;3;1
2;4;1
2;5;1
2;6;2
2;5430;1
2;5436;1
3;1;1
3;2;1
3;4;1
3;5;2
3;6;2
3;5431;1
3;5433;1
3;5434;1
4;5424;2
4;1;1
4;2;1
4;3;1
4;5;2
4;5430;1
4;5435;1
4;5421;1
4;5423;1
5;1;2
5;2;1
5;3;2
5;4;2
5;6;1
5;5979;2
5;5984;1
5;5419;1
5;5420;1
5;5421;2
5;5422;2
5;5423;2
5;5424;2
5;5425;2
5;5428;1
5;5429;1
5;5430;1
5;5431;1
5;5433;2
5;5434;2
5;5435;2
5;5436;1
5;5437;1
6;2;2
6;3;2
6;5;1
6;5436;1
5430;2;1
5430;4;1
5430;5428;1
5430;5;1
5430;5435;1
5436;2;1
5436;5;1
5436;6;1
5431;3;2
5431;5;1
5433;3;1
5433;5;1
5433;5431;1
5434;5425;1
5434;3;1
5434;5;2
5424;4;2
5424;5;2
5424;5435;2
5435;5424;2
5435;5428;2
5435;4;1
5435;5;2
5435;5430;1
5435;5419;2
5435;5979;2
5421;5425;1
5421;4;1
5421;5;2
5423;5984;1
5423;4;1
5423;5;2
5423;5422;1
5979;5;2
5979;5435;1
5984;5423;1
5419;5;1
5419;5435;2
5419;5979;1
5420;5;1
5422;5;2
5422;5432;2
5422;5980;1
5422;5423;1
5425;3;1
5425;5;2
5425;5434;1
5425;5421;1
5428;5;1
5428;5430;1
5428;5435;2
5429;5;1
5437;5;1
5432;5419;1
5432;5422;1
5980;5422;1
