Source;Target;Weight
770;2055;1
770;524;1
770;2086;1
770;552;1
770;569;1
770;570;1
770;579;1
770;597;1
770;619;1
770;628;1
770;133;1
770;2198;1
770;691;1
770;694;1
770;704;1
770;193;1
770;3271;1
770;211;1
770;728;1
770;771;1
770;776;1
770;780;1
770;271;1
770;785;1
770;1832;1
770;302;1
770;1381;1
770;1388;1
770;1430;1
770;1432;1
770;1946;1
770;1440;1
770;2488;1
770;1982;1
770;1987;1
770;1510;1
770;492;1
770;2043;1
2055;1409;1
2055;1425;1
2055;1435;1
2055;1438;1
2055;191;1
2055;2019;1
2055;2671;1
2055;1399;1
2055;1400;1
2055;1402;1
524;240;1
524;253;1
2086;2407;1
2086;520;1
552;706;1
552;703;1
569;1993;1
569;586;1
569;588;1
569;739;1
569;575;1
569;255;1
570;273;1
570;287;1
570;301;1
570;559;1
570;308;1
570;574;1
570;1857;1
570;584;1
570;1610;1
570;333;1
570;89;1
570;2402;1
570;2923;1
570;639;1
570;640;1
570;1955;1
570;676;1
570;1190;1
570;700;1
570;705;1
570;197;1
570;716;1
570;237;1
570;1011;1
570;500;1
579;280;1
579;282;1
579;293;1
579;295;1
579;2131;1
579;184;1
579;185;1
579;196;1
579;200;1
579;203;1
579;244;1
597;206;1
597;591;1
597;609;1
597;618;1
597;630;1
619;284;1
619;291;1
619;179;1
619;188;1
619;195;1
619;201;1
619;216;1
619;611;1
619;612;1
619;2161;1
619;249;1
628;1027;1
628;1034;1
628;1548;1
628;13;1
628;1056;1
628;568;1
628;65;1
628;1102;1
628;610;1
628;614;1
628;2188;1
628;142;1
628;161;1
628;218;1
628;1754;1
628;1757;1
628;252;1
628;259;1
628;1341;1
628;832;1
628;853;1
628;1888;1
628;864;1
628;368;1
628;1446;1
628;1969;1
628;461;1
628;479;1
628;1514;1
628;503;1
628;1017;1
628;1021;1
133;138;1
133;140;1
133;150;1
133;1436;1
133;2882;1
133;1014;1
2198;2563;1
2198;2949;1
2198;966;1
2198;978;1
2198;992;1
2198;1004;1
2198;1007;1
2198;1013;1
691;791;1
691;288;1
691;1645;1
691;678;1
691;690;1
691;1724;1
691;1486;1
691;977;1
691;481;1
691;750;1
691;758;1
691;247;1
704;683;1
704;1965;1
704;194;1
193;772;1
193;650;1
193;655;1
193;2192;1
193;576;1
193;731;1
728;563;1
728;578;1
728;2130;1
728;1922;1
728;718;1
728;727;1
728;480;1
728;760;1
771;773;1
771;777;1
771;3157;1
771;2482;1
780;557;1
271;256;1
271;566;1
271;580;1
271;325;1
271;334;1
271;335;1
271;476;1
785;564;1
1832;1793;1
1832;796;1
1832;2092;1
1832;1837;1
1832;60;1
1832;1852;1
1832;1359;1
1832;1901;1
1832;1908;1
1832;1909;1
1832;2446;1
1832;2995;1
1832;1720;1
1832;1265;1
1832;242;1
1381;1378;1
1381;1417;1
1381;2227;1
1388;2197;1
1388;1431;1
1388;2222;1
1388;1006;1
1430;1421;1
1430;2982;1
1430;2220;1
1430;2221;1
1430;2226;1
1430;3178;1
1430;2670;1
1430;2673;1
