tiempo,infectados
0,1
1,108
2,846
3,1875
4,2271
5,2413
6,2419
7,2379
8,2318
9,2241
10,2158
11,2067
12,1965
13,1875
14,1796
15,1712
16,1635
17,1559
18,1478
19,1405
20,1339
21,1269
22,1195
23,1139
24,1087
25,1055
26,1012
27,963
28,917
29,867
30,822
31,772
32,730
33,695
34,666
35,635
36,603
37,579
38,554
39,523
40,503
41,488
42,460
43,430
44,413
45,391
46,377
47,355
48,341
49,329
50,317
51,304
52,292
53,279
54,266
55,257
56,248
57,235
58,227
59,219
60,211
61,199
62,187
63,181
64,174
65,165
66,157
67,150
68,142
69,136
70,131
71,128
72,122
73,115
74,112
75,108
76,100
77,91
78,86
79,82
80,77
81,74
82,72
83,69
84,68
85,62
86,59
87,55
88,51
89,50
90,49
91,47
92,44
93,44
94,39
95,38
96,36
97,35
98,34
99,34
100,32
101,31
102,26
103,25
104,24
105,21
106,20
107,18
108,18
109,16
110,15
111,14
112,12
113,12
114,10
115,10
116,9
117,9
118,9
119,9
