tiempo,infectados
0,1
1,157
2,1017
3,2237
4,2621
5,2660
6,2593
7,2487
8,2391
9,2271
10,2166
11,2090
12,1991
13,1883
14,1794
15,1704
16,1623
17,1543
18,1470
19,1402
20,1339
21,1271
22,1214
23,1154
24,1097
25,1043
26,995
27,940
28,898
29,851
30,807
31,765
32,722
33,693
34,664
35,637
36,614
37,590
38,568
39,549
40,523
41,494
42,476
43,460
44,429
45,406
46,383
47,371
48,353
49,334
50,314
51,299
52,286
53,281
54,268
55,263
56,250
57,238
58,230
59,215
60,202
61,193
62,181
63,172
64,162
65,154
66,151
67,140
68,135
69,131
70,125
71,120
72,115
73,108
74,99
75,93
76,86
77,83
78,79
79,73
80,71
81,68
82,65
83,64
84,62
85,61
86,58
87,56
88,54
89,53
90,52
91,49
92,47
93,44
94,42
95,41
96,40
97,36
98,34
99,32
100,30
101,28
102,26
103,24
104,23
105,21
106,20
107,20
108,19
109,18
110,18
111,15
112,14
113,13
114,12
115,10
116,9
117,9
118,9
119,9
