Source;Target;Weight
1812;2048;5
1812;2083;3
1812;2157;3
1812;2164;3
1812;2199;1
1812;1697;3
1812;1716;4
1812;2234;3
1812;1723;3
1812;1797;3
1812;1804;3
1812;796;1
1812;798;1
1812;800;1
1812;801;1
1812;815;5
1812;1843;3
1812;1845;3
1812;1849;3
1812;1865;3
1812;859;1
1812;1894;4
1812;871;1
1812;873;1
1812;1899;3
1812;2424;4
1812;1914;4
1812;2433;3
1812;900;1
1812;2460;1
1812;2463;1
1812;1964;3
1812;2479;3
1812;2008;4
1812;2024;4
2048;1812;5
2083;1812;3
2157;1812;3
2164;1812;3
2199;1812;1
1697;1812;3
1716;1812;4
2234;1812;3
1723;1812;3
1797;1812;3
1804;1812;3
800;801;2
800;900;1
800;1812;1
800;871;1
800;796;2
800;797;1
800;798;2
801;800;2
801;2499;1
801;1812;1
801;871;1
801;796;4
801;797;1
801;798;1
815;1812;5
1843;1812;3
1845;1812;3
1849;1812;3
1865;1812;3
859;1812;1
859;871;2
859;796;1
1894;1812;4
873;2498;2
873;1812;1
873;872;1
1899;1812;3
2424;1812;4
1914;1812;3
2433;1812;3
2460;1812;1
2463;1812;1
1964;1812;3
2479;1812;3
2008;1812;4
2024;1812;4
796;801;4
796;871;3
796;1812;2
796;852;1
796;859;1
796;2014;1
796;798;4
797;800;1
797;801;1
797;2499;1
797;2089;1
797;798;1
797;799;1
798;800;2
798;801;1
798;900;1
798;871;1
798;1812;1
798;796;4
798;797;1
2499;801;1
2499;797;1
871;900;1
871;1812;1
871;859;2
871;796;1
871;798;1
871;800;1
871;801;1
871;879;1
2498;873;2
872;873;1
852;796;1
2014;900;2
2014;796;1
799;797;1
900;800;1
900;2276;2
900;871;1
900;3124;2
900;1812;1
900;3221;1
900;3125;1
900;2168;2
900;2877;2
900;2014;2
900;798;1
879;871;1
879;875;1
879;876;1
879;877;2
879;878;1
879;880;2
879;881;1
2276;900;2
2276;3221;1
2276;2168;2
2276;2877;1
3124;900;2
3124;3125;2
3124;3292;1
3124;2877;1
3124;3293;1
3221;900;1
3221;2276;1
3221;2168;1
3221;2877;1
3125;900;1
3125;3124;2
3125;2277;2
3125;3292;1
3125;3293;1
2168;900;2
2168;2276;2
2168;3221;1
2168;2877;2
2168;2990;2
2877;900;2
2877;2276;1
2877;3124;2
2877;3221;1
2877;2168;2
875;877;1
875;879;1
876;879;1
877;879;1
878;879;1
880;879;1
881;874;1
3292;3124;1
3292;3125;1
3292;3293;1
3293;3125;1
3293;2277;1
2277;3125;1
2277;3293;1
2990;2168;2
874;882;1
874;879;1
882;881;1
