Source;Target;Weight
1856;1850;3
1856;1874;3
1856;2663;1
1856;2155;1
1856;2431;1
1856;2960;1
1856;2961;1
1856;2452;1
1856;2454;1
1856;2201;1
1856;2202;1
1856;2465;3
1856;2472;1
1856;2991;1
1856;2999;3
1856;3000;1
1856;3003;3
1856;1736;1
1850;1856;3
1850;3003;3
1850;3006;3
1874;1856;3
1874;2480;3
2663;1856;1
2155;1856;1
2431;1856;1
2960;1856;1
2961;1856;1
2452;1856;1
2454;1856;1
2201;1856;1
2202;1856;1
2465;1856;3
2465;1721;3
2465;2429;2
2472;1856;1
2991;1856;1
2999;2998;3
3000;1856;1
3003;1856;3
3003;1850;3
1736;1856;1
3006;1850;3
2480;1874;3
1721;2465;3
2429;2465;2
2998;1856;3
