tiempo,recuperados
0,0
1,0
2,5
3,66
4,182
5,316
6,444
7,571
8,695
9,804
10,928
11,1040
12,1118
13,1218
14,1326
15,1415
16,1505
17,1586
18,1666
19,1739
20,1807
21,1870
22,1938
23,1995
24,2055
25,2112
26,2166
27,2214
28,2269
29,2311
30,2358
31,2402
32,2444
33,2487
34,2516
35,2545
36,2572
37,2595
38,2619
39,2641
40,2660
41,2686
42,2715
43,2733
44,2749
45,2780
46,2803
47,2826
48,2838
49,2856
50,2875
51,2895
52,2910
53,2923
54,2928
55,2941
56,2946
57,2959
58,2971
59,2979
60,2994
61,3007
62,3016
63,3028
64,3037
65,3047
66,3055
67,3058
68,3069
69,3074
70,3078
71,3084
72,3089
73,3094
74,3101
75,3110
76,3116
77,3123
78,3126
79,3130
80,3136
81,3138
82,3141
83,3144
84,3145
85,3147
86,3148
87,3151
88,3153
89,3155
90,3156
91,3157
92,3160
93,3162
94,3165
95,3167
96,3168
97,3169
98,3173
99,3175
100,3177
101,3179
102,3181
103,3183
104,3185
105,3186
106,3188
107,3189
108,3189
109,3190
110,3191
111,3191
112,3194
113,3195
114,3196
115,3197
116,3199
117,3200
118,3200
119,3200
