Source;Target;Weight
1017;1803;1
1017;1548;1
1017;781;1
1017;783;1
1017;538;1
1017;1056;1
1017;557;1
1017;1592;1
1017;340;1
1017;1115;1
1017;1629;1
1017;1636;1
1017;376;1
1017;2938;1
1017;1661;1
1017;1409;1
1017;1417;1
1017;2188;1
1017;1421;1
1017;1424;1
1017;1682;1
1017;2197;1
1017;409;1
1017;1446;1
1017;1190;1
1017;1976;1
1017;191;1
1017;986;1
1017;1502;1
1017;995;1
1017;240;1
1017;1009;1
1017;500;1
1017;1014;1
1017;1022;1
1803;1792;1
1803;1793;1
1803;1810;1
1803;1813;1
1803;789;1
1803;1821;1
1803;1823;1
1803;800;1
1803;805;1
1803;1833;1
1803;1854;1
1803;1856;1
1803;1865;1
1803;1873;1
1803;97;1
1803;1896;1
1803;2170;1
1803;1946;1
1803;1697;1
1803;1706;1
1803;1732;1
1803;1734;1
1803;1739;1
1803;1753;1
1803;1762;1
1803;2029;1
1803;1774;1
1803;1775;1
1803;2036;1
1803;1784;1
1548;1664;1
1548;1052;1
1548;1058;1
1548;1074;1
1548;2107;1
1548;1378;1
1548;1652;1
781;770;1
781;194;1
781;712;1
781;185;1
781;700;1
783;784;1
783;282;1
783;563;1
783;184;1
783;200;1
783;716;1
783;348;1
783;758;1
783;247;1
538;1685;1
538;176;1
538;242;1
538;179;1
538;180;1
1056;1040;1
1056;2836;1
1056;2076;1
1056;1076;1
1056;2102;1
1056;1082;1
1056;1083;1
1056;1613;1
1056;1650;1
1056;628;1
1056;1653;1
1056;1665;1
1056;1671;1
1056;1673;1
1056;1944;1
1056;1508;1
1056;2798;1
1056;2800;1
557;676;1
557;315;1
557;195;1
557;3323;1
1592;1569;1
1592;1597;1
1592;1486;1
1592;1642;1
1592;1015;1
1592;1662;1
340;284;1
340;2354;1
340;692;1
340;1974;1
340;579;1
340;331;1
340;334;1
340;339;1
340;218;1
340;619;1
340;1645;1
340;368;1
340;1402;1
340;1407;1
1115;1545;1
1115;1051;1
1115;1841;1
1115;1715;1
1115;1605;1
1115;1610;1
1115;2133;1
1115;1120;1
1629;1674;1
1629;1954;1
1629;1718;1
1629;953;1
1629;2747;1
1629;1614;1
1629;1615;1
1629;1619;1
1629;2771;1
1636;1922;1
1636;3273;1
1636;1612;1
1636;402;1
1636;1633;1
1636;1649;1
1636;2749;1
1636;2751;1
376;377;1
376;379;1
376;382;1
376;446;1
2938;977;1
1661;2828;1
1661;2841;1
1661;1947;1
1661;2973;1
1661;2850;1
1661;1467;1
1661;1485;1
1661;1657;1
1409;786;1
1409;295;1
1409;3155;1
1409;2643;1
1409;2681;1
1409;1405;1
1409;1411;1
1409;1412;1
1409;2693;1
1409;1418;1
1409;1422;1
1409;1434;1
1409;1435;1
1409;1437;1
1409;1439;1
1409;2218;1
1409;1965;1
1409;691;1
1409;2227;1
1417;728;1
1417;1432;1
1417;2019;1
1417;1381;1
1417;1969;1
2188;777;1
2188;2651;1
2188;618;1
2188;629;1
2188;3271;1
2188;201;1
2188;723;1
2188;760;1
1682;2838;1
1682;2087;1
1682;2866;1
1682;1080;1
1682;1084;1
1682;2879;1
1682;1105;1
1682;1654;1
1682;1436;1
1682;2797;1
1682;2801;1
1682;2810;1
1682;2813;1
